features,cv_auroc,cv_auroc_std
GC only,0.5086054557091823,0.017920936108154317
composition,0.5505230165078482,0.027077961815520545
repeat/complexity,0.5938868181256513,0.011728537265312903
position+chrom,0.6473782306008855,0.010488040110927304
ALL covariates (no embedding),0.6759245637157975,0.018132794230829915
PCs,0.6536348726787344,0.009650761517154495
position+chrom + PCs,0.719855240636163,0.004598524371331489
ALL covariates + PCs,0.7361390542991508,0.012031506286097372
label-related meta,0.47095794911063155,0.014122928814045983
