run_tag,config_id,dataset_id,seed,dev_auprc
cfg001__ENC-001__TF-ChIP-seq_CTCF__seed42,cfg001,ENC-001__TF-ChIP-seq_CTCF,42,0.04319
cfg000__ENC-001__TF-ChIP-seq_CTCF__seed13,cfg000,ENC-001__TF-ChIP-seq_CTCF,13,0.03949
cfg000__ENC-001__TF-ChIP-seq_CTCF__seed1,cfg000,ENC-001__TF-ChIP-seq_CTCF,1,0.03948
cfg000__ENC-001__TF-ChIP-seq_CTCF__seed42,cfg000,ENC-001__TF-ChIP-seq_CTCF,42,0.03912
cfg001__ENC-001__TF-ChIP-seq_CTCF__seed1,cfg001,ENC-001__TF-ChIP-seq_CTCF,1,0.0387
cfg001__ENC-001__TF-ChIP-seq_CTCF__seed13,cfg001,ENC-001__TF-ChIP-seq_CTCF,13,0.03747
cfg001__ENC-003__TF-ChIP-seq_CTCF__seed1,cfg001,ENC-003__TF-ChIP-seq_CTCF,1,0.03266
cfg001__ENC-003__TF-ChIP-seq_CTCF__seed13,cfg001,ENC-003__TF-ChIP-seq_CTCF,13,0.03179
cfg000__ENC-004__TF-ChIP-seq_CTCF__seed1,cfg000,ENC-004__TF-ChIP-seq_CTCF,1,0.03143
cfg001__ENC-002__TF-ChIP-seq_CTCF__seed13,cfg001,ENC-002__TF-ChIP-seq_CTCF,13,0.03107
cfg000__ENC-004__TF-ChIP-seq_CTCF__seed42,cfg000,ENC-004__TF-ChIP-seq_CTCF,42,0.03095
cfg000__ENC-004__TF-ChIP-seq_CTCF__seed13,cfg000,ENC-004__TF-ChIP-seq_CTCF,13,0.03095
cfg000__ENC-003__TF-ChIP-seq_CTCF__seed42,cfg000,ENC-003__TF-ChIP-seq_CTCF,42,0.02844
cfg000__ENC-003__TF-ChIP-seq_CTCF__seed13,cfg000,ENC-003__TF-ChIP-seq_CTCF,13,0.02816
cfg000__ENC-003__TF-ChIP-seq_CTCF__seed1,cfg000,ENC-003__TF-ChIP-seq_CTCF,1,0.02808
cfg001__ENC-003__TF-ChIP-seq_CTCF__seed42,cfg001,ENC-003__TF-ChIP-seq_CTCF,42,0.02778
cfg001__ENC-002__TF-ChIP-seq_CTCF__seed1,cfg001,ENC-002__TF-ChIP-seq_CTCF,1,0.02693
cfg001__ENC-002__TF-ChIP-seq_CTCF__seed42,cfg001,ENC-002__TF-ChIP-seq_CTCF,42,0.02682
cfg000__ENC-002__TF-ChIP-seq_CTCF__seed1,cfg000,ENC-002__TF-ChIP-seq_CTCF,1,0.02618
cfg000__ENC-002__TF-ChIP-seq_CTCF__seed42,cfg000,ENC-002__TF-ChIP-seq_CTCF,42,0.02571
cfg000__ENC-002__TF-ChIP-seq_CTCF__seed13,cfg000,ENC-002__TF-ChIP-seq_CTCF,13,0.02553
